global time	experiment	device	var1	var2	var3	var4	var5	var6	board	x	y	var7	var8	var9	var10	var11	var12	var13	var14	var15	var16
03:42.5	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.09245794	1.258428	-0.1419073	0.2306695	-0.08935858	0.9689202	whiteboard (video)	0.05144289	0.8445618	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
03:42.6	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.08540191	1.258435	-0.1450658	0.249459	0.005396865	0.9683703	whiteboard (video)	0.1125072	0.9551563	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
03:42.7	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.08851971	1.258542	-0.1429753	0.2427677	-0.009076912	0.970042	whiteboard (video)	0.08734345	0.9385328	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
03:42.8	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.09239151	1.259102	-0.1413213	0.2509046	-0.01160776	0.9679422	whiteboard (video)	0.08974704	0.9367266	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
03:42.9	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.09244528	1.259187	-0.141379	0.2523499	-0.0135036	0.9675418	whiteboard (video)	0.0925239	0.9346917	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
03:43.0	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.08936145	1.259343	-0.144165	0.3708392	-0.02865678	0.9282549	whiteboard (video)	0.3486922	0.9170246	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
03:43.1	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.09098812	1.259428	-0.1433718	0.3525597	-0.02899876	0.9353398	whiteboard (video)	0.3040581	0.9168906	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
03:43.2	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.1080144	1.260935	-0.1358621	0.3852827	-0.02884073	0.9223478	whiteboard (video)	0.3108279	0.9201145	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
03:43.3	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.1137989	1.262074	-0.1346541	0.5670974	-0.05010501	0.8221254	whiteboard (video)	0.7202832	0.8942797	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
03:43.4	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.1055607	1.260995	-0.1375724	0.5443237	-0.04693905	0.837561	whiteboard (video)	0.6904769	0.8965189	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
03:43.5	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.0941865	1.259755	-0.1422103	0.5339189	-0.04189172	0.8444974	whiteboard (video)	0.7060089	0.9002964	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
03:43.6	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.09176049	1.258382	-0.1443525	0.5701913	-0.07058256	0.8184742	whiteboard (video)	0.8143766	0.8607771	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
03:43.7	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.1041454	1.259985	-0.1387072	0.6269786	-0.1798454	0.757993	whiteboard (video)	0.9547094	0.7176085	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
03:43.8	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.1000296	1.25891	-0.1393145	0.6319301	-0.1825305	0.7532243	whiteboard (video)	0.9842707	0.711242	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
03:43.9	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.08764988	1.257596	-0.1446599	0.5918096	-0.2605861	0.7627949	whiteboard (video)	0.9425938	0.6050587	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
03:44.0	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.09548506	1.258375	-0.1411492	0.6037972	-0.2595703	0.7536924	whiteboard (video)	0.9483184	0.6065512	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
03:44.1	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.09935875	1.258889	-0.1399547	0.6032367	-0.2597871	0.7540663	whiteboard (video)	0.9329382	0.6074836	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
03:44.2	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.0938437	1.258281	-0.1426528	0.5957505	-0.2550277	0.7616051	whiteboard (video)	0.9295296	0.6138854	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
03:44.3	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.07792071	1.256878	-0.1496829	0.5418057	-0.2542777	0.8011175	whiteboard (video)	0.8350775	0.6195228	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
03:44.4	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.1135733	1.259873	-0.1335406	0.334115	-0.2418046	0.9109871	whiteboard (video)	0.2041936	0.6621575	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
